order,pref,name,deck,power
1,北海道,北海道の主,C239|C273|C298|C350|C336,12020
2,青森県,青森の主,C414|C417|C529|C739|C423,14480
3,岩手県,岩手の主,C437|C1367|C018|C445|C450,17500
4,宮城県,宮城の主,C508|C932|C771|C476|C470,21120
5,秋田県,秋田の主,C902|C512|C026|C493|C496,25500
6,山形県,山形の主,P44|C279|C519|C029|C541,30800
7,福島県,福島の主,C1727|C896|C238|C587|C557,37190
8,茨城県,茨城の主,C161|C602|C1529|C630|C035,44908
9,栃木県,栃木の主,P27|P01|C105|C870|C657,54206
10,群馬県,群馬の主,P29|C120|C1329|C444|C043,65440
11,埼玉県,埼玉の主,C201|C1741|S07|C049|P11,79220
12,千葉県,千葉の主,P47|C1482|C1352|C767|C916,95440
13,東京都,東京の主,C066|C067|C114|C810|C059,115200
14,神奈川県,神奈川の主,C132|C186|C1342|C852|C1320,139150
15,新潟県,新潟の主,P02|C887|C128|P15|C1272,167990
16,富山県,富山の主,C105|C1154|C084|P27|C132,200832
17,石川県,石川の主,C137|P17|P01|P06|C128,244876
18,福井県,福井の主,C494|C132|C186|C101|C549,295970
19,山梨県,山梨の主,P06|C167|C128|C137|C132,361156
20,長野県,長野の主,C138|C274|C071|C137|C132,431200
21,岐阜県,岐阜の主,C200|C108|C132|C1038|C180,520630
22,静岡県,静岡の主,C802|C058|C186|C137|C132,626538
23,愛知県,愛知の主,P32|P04|C186|C128|C132,757890
24,三重県,三重の主,P42|C163|C132|C071|C205,911808
25,滋賀県,滋賀の主,C1100|C962|C186|C137|C132,1103972
26,京都府,京都の主,C133|C017|P26|C129|C1187,1364026
27,大阪府,大阪の主,C1245|C153|C186|C137|C132,1595380
28,兵庫県,兵庫の主,C1267|C104|C186|C128|C132,1924670
29,奈良県,奈良の主,C059|C114|C128|C001|C132,2346084
30,和歌山県,和歌山の主,C083|C114|C200|C108|C215,2851612
31,鳥取県,鳥取の主,C199|C019|C186|C114|C132,3451774
32,島根県,島根の主,C218|P47|C224|C198|C177,4133344
33,岡山県,岡山の主,C762|C128|C186|C137|C132,4999750
34,広島県,広島の主,C155|C128|C186|C137|C132,6001094
35,山口県,山口の主,C132|C186|C128|C114|C145,7409378
36,徳島県,徳島の主,C083|C128|C186|C114|C132,8889862
37,香川県,香川の主,C191|C114|C186|C137|C132,10830068
38,愛媛県,愛媛の主,C132|C186|C128|C114|C063,12597262
39,高知県,高知の主,C071|C128|C114|C161|C132,15481004
40,福岡県,福岡の主,C169|C128|C186|C071|C132,18514036
41,佐賀県,佐賀の主,C047|C071|C186|C137|C132,22415646
42,長崎県,長崎の主,C132|C186|C128|C114|C051,27815432
43,熊本県,熊本の主,C158|C128|C186|C200|C132,33167570
44,大分県,大分の主,C001|C114|C186|C137|C132,40096120
45,宮崎県,宮崎の主,C078|C071|C186|C137|C132,45968350
46,鹿児島県,鹿児島の主,C161|C128|C186|C137|C132,58102666
47,沖縄県,沖縄の主,C161|C128|C186|C114|C132,71318842
