id,name,reading,type,prefecture,rarity
P01,北海道,ほっかいどう,pref,北海道,UR
P02,青森県,あおもりけん,pref,青森県,UR
P03,岩手県,いわてけん,pref,岩手県,UR
P04,宮城県,みやぎけん,pref,宮城県,UR
P05,秋田県,あきたけん,pref,秋田県,UR
P06,山形県,やまがたけん,pref,山形県,UR
P07,福島県,ふくしまけん,pref,福島県,UR
P08,茨城県,いばらきけん,pref,茨城県,UR
P09,栃木県,とちぎけん,pref,栃木県,UR
P10,群馬県,ぐんまけん,pref,群馬県,UR
P11,埼玉県,さいたまけん,pref,埼玉県,UR
P12,千葉県,ちばけん,pref,千葉県,UR
P13,東京都,とうきょうと,pref,東京都,UR
P14,神奈川県,かながわけん,pref,神奈川県,UR
P15,新潟県,にいがたけん,pref,新潟県,UR
P16,富山県,とやまけん,pref,富山県,UR
P17,石川県,いしかわけん,pref,石川県,UR
P18,福井県,ふくいけん,pref,福井県,UR
P19,山梨県,やまなしけん,pref,山梨県,UR
P20,長野県,ながのけん,pref,長野県,UR
P21,岐阜県,ぎふけん,pref,岐阜県,UR
P22,静岡県,しずおかけん,pref,静岡県,UR
P23,愛知県,あいちけん,pref,愛知県,UR
P24,三重県,みえけん,pref,三重県,UR
P25,滋賀県,しがけん,pref,滋賀県,UR
P26,京都府,きょうとふ,pref,京都府,UR
P27,大阪府,おおさかふ,pref,大阪府,UR
P28,兵庫県,ひょうごけん,pref,兵庫県,UR
P29,奈良県,ならけん,pref,奈良県,UR
P30,和歌山県,わかやまけん,pref,和歌山県,UR
P31,鳥取県,とっとりけん,pref,鳥取県,UR
P32,島根県,しまねけん,pref,島根県,UR
P33,岡山県,おかやまけん,pref,岡山県,UR
P34,広島県,ひろしまけん,pref,広島県,UR
P35,山口県,やまぐちけん,pref,山口県,UR
P36,徳島県,とくしまけん,pref,徳島県,UR
P37,香川県,かがわけん,pref,香川県,UR
P38,愛媛県,えひめけん,pref,愛媛県,UR
P39,高知県,こうちけん,pref,高知県,UR
P40,福岡県,ふくおかけん,pref,福岡県,UR
P41,佐賀県,さがけん,pref,佐賀県,UR
P42,長崎県,ながさきけん,pref,長崎県,UR
P43,熊本県,くまもとけん,pref,熊本県,UR
P44,大分県,おおいたけん,pref,大分県,UR
P45,宮崎県,みやざきけん,pref,宮崎県,UR
P46,鹿児島県,かごしまけん,pref,鹿児島県,UR
P47,沖縄県,おきなわけん,pref,沖縄県,UR
C001,札幌市,さっぽろし,city,北海道,SSR
C002,函館市,はこだてし,city,北海道,SR
C003,小樽市,おたるし,city,北海道,SR
C004,旭川市,あさひかわし,city,北海道,R
C005,登別市,のぼりべつし,city,北海道,SR
C006,富良野市,ふらのし,city,北海道,R
C007,倶知安町,くっちゃんちょう,city,北海道,SR
C008,音威子府村,おといねっぷむら,city,北海道,SSR
C009,長万部町,おしゃまんべちょう,city,北海道,SR
C010,夕張市,ゆうばりし,city,北海道,R
C011,青森市,あおもりし,city,青森県,R
C012,弘前市,ひろさきし,city,青森県,R
C013,八戸市,はちのへし,city,青森県,R
C014,むつ市,むつし,city,青森県,SR
C015,盛岡市,もりおかし,city,岩手県,R
C016,遠野市,とおのし,city,岩手県,R
C017,平泉町,ひらいずみちょう,city,岩手県,SR
C018,宮古市,みやこし,city,岩手県,N
C019,仙台市,せんだいし,city,宮城県,SSR
C020,松島町,まつしままち,city,宮城県,SR
C021,石巻市,いしのまきし,city,宮城県,N
C022,気仙沼市,けせんぬまし,city,宮城県,N
C023,秋田市,あきたし,city,秋田県,R
C024,仙北市,せんぼくし,city,秋田県,R
C025,男鹿市,おがし,city,秋田県,R
C026,湯沢市,ゆざわし,city,秋田県,N
C027,山形市,やまがたし,city,山形県,R
C028,鶴岡市,つるおかし,city,山形県,N
C029,天童市,てんどうし,city,山形県,R
C030,寒河江市,さがえし,city,山形県,SR
C031,福島市,ふくしまし,city,福島県,R
C032,会津若松市,あいづわかまつし,city,福島県,SR
C033,郡山市,こおりやまし,city,福島県,N
C034,いわき市,いわきし,city,福島県,R
C035,水戸市,みとし,city,茨城県,R
C036,つくば市,つくばし,city,茨城県,SR
