card_id,tag
P01,豪雪
P01,温泉地
P01,日本一
P02,豪雪
P02,日本一
P03,豪雪
P04,温泉地
P05,豪雪
P05,温泉地
P06,豪雪
P06,温泉地
P06,日本一
P07,温泉地
P08,日本一
P09,海なし県
P09,日本一
P10,海なし県
P10,温泉地
P11,海なし県
P12,半島
P12,日本一
P13,日本一
P14,温泉地
P15,豪雪
P15,日本一
P16,豪雪
P17,半島
P17,温泉地
P18,日本一
P19,海なし県
P19,日本一
P20,海なし県
P20,温泉地
P20,豪雪
P21,海なし県
P21,温泉地
P22,温泉地
P22,日本一
P23,日本一
P24,半島
P25,海なし県
P25,湖
P25,日本一
P26,古都
P26,世界遺産
P27,日本一
P28,温泉地
P28,港町
P29,海なし県
P29,古都
P29,世界遺産
P30,温泉地
P30,日本一
P31,日本一
P32,温泉地
P32,世界遺産
P33,日本一
P34,世界遺産
P35,温泉地
P35,日本一
P36,日本一
P37,日本一
P37,島
P38,温泉地
P38,島
P39,日本一
P40,日本一
P40,港町
P41,温泉地
P42,島
P42,港町
P42,日本一
P43,温泉地
P43,日本一
P44,温泉地
P44,日本一
P45,南国
P45,日本一
P46,温泉地
P46,島
P47,島
P47,南国
P47,世界遺産
C001,政令指定都市
C001,県庁所在地
C001,豪雪
C002,港町
C003,港町
C004,豪雪
C005,温泉地
C006,豪雪
C007,難読
C007,豪雪
C008,難読
C008,日本一
C009,難読
C009,温泉地
C010,日本一
C011,県庁所在地
C011,豪雪
C012,城下町
C013,港町
C014,ひらがな
C014,日本一
C015,県庁所在地
C015,城下町
C016,秘境
C017,世界遺産
C017,古都
C018,港町
C019,政令指定都市
C019,県庁所在地
C019,城下町
C020,日本三景
C020,港町
C021,港町
C022,港町
C022,難読
C023,県庁所在地
C023,港町
C024,城下町
C024,温泉地
C025,半島
C025,難読
C026,温泉地
C026,豪雪
C027,県庁所在地
C027,城下町
C028,城下町
C029,日本一
C030,難読
C031,県庁所在地
C031,温泉地
C032,城下町
C033,難読
C034,ひらがな
C034,温泉地
C035,県庁所在地
C035,城下町
C036,ひらがな
C037,難読
C038,港町
C039,県庁所在地
C039,日本一
C040,世界遺産
C040,温泉地
C041,温泉地
C042,古都
C043,県庁所在地
C043,海なし県
C044,新幹線
C044,日本一
C045,温泉地
C045,日本一
C046,温泉地
C046,ひらがな
C047,政令指定都市
C047,県庁所在地
C047,ひらがな
C048,城下町
C049,海なし県
C050,難読
C051,政令指定都市
C051,県庁所在地
C052,空港
C053,港町
C053,日本一
