id,name,tag,count,multiplier,description
SY01,県庁所在地会議,県庁所在地,3,1.5,県都が3つ集えば行政パワーが炸裂する
SY02,政令指定都市サミット,政令指定都市,3,1.6,大都市連合。人口パワーで押し切る
SY03,新幹線ネットワーク,新幹線,3,1.7,新幹線でつながる都市は強い。ビジネスも観光も自由自在
SY04,港町ブルース,港町,3,1.8,汽笛が響けば海の男たちが集結する
SY05,日本一決定戦,日本一,3,1.8,何かで日本一の地が3つ。誰にも負けない何かがある
SY06,首都連合,東京23区,3,1.9,23区が手を組めば首都機能はもう止まらない
SY07,山手線ゲーム,山手線,3,2.0,山手線沿線の区が3つそろえば環状パワー発動
SY08,天下統一,城下町,3,2.0,城下町3つで戦国大名の野望が蘇る
SY09,湯けむり同盟,温泉地,3,2.2,名湯3つで極楽同盟。攻められても「まあ湯にでも入って」
SY10,世界遺産ツアー,世界遺産,3,2.2,人類の宝を巡る旅。文化の力は武力を超える
SY11,半島連合,半島,2,2.3,突き出した者同士にしか分からない絆がある
SY12,雪国同盟,豪雪,3,2.4,雪に鍛えられた者たちは粘り強い
SY13,天守閣そろい踏み,城,2,2.4,現存天守級の名城がそろう鉄壁の布陣
SY14,古都巡礼,古都,2,2.5,いにしえの都の格式。歴史の重みで圧倒する
SY15,南国バカンス,南国,2,2.5,常夏パワーで細かいことはどうでもよくなる
SY16,ひらがなブーム,ひらがな,2,2.6,やわらかい名前にはやわらかい強さがある
SY17,離島ネットワーク,島,3,2.6,海を越えてつながる島々。独自文化の結束力
SY18,読めたら天才,難読,2,2.8,誰にも読めない名前は誰にも攻略できない
SY19,秘境探検隊,秘境,2,3.0,たどり着くことすら困難な地。神秘の力が宿る
SY20,内陸同盟,海なし県,3,3.2,海なんてなくても生きていける。8県だけの秘密結社
SY21,日本三景,日本三景,3,4.0,松島・天橋立・宮島。江戸時代から続く絶景の頂点
SY22,ラーメン行脚,ラーメン,3,2,一日三杯は当たり前。ご当地の一杯を求めて
SY23,百万ドルの夜景,夜景,3,2.4,夜景都市が3つ集えば眩しさで敵は目を開けられない
SY24,窯元めぐり,焼き物,3,2.3,千年の炎は簡単には消えない
SY25,最果て探訪,最果て,3,2.8,東西南北の端に立つ者だけが知る景色がある
SY26,うどん県連合,うどん,3,2.2,コシの強さは防御力。出汁の深さは攻撃力
SY27,餃子サミット,餃子,2,2.6,消費量日本一の座を懸けた終わりなき戦い
SY28,和牛頂上決戦,ブランド牛,3,2.6,霜降りの輝きは刃より鋭い
SY29,聖地巡礼,アニメ聖地,3,2.4,二次元と三次元が交差するとき物語は無敵になる
SY30,日本の祭囃子,祭り,3,2,笛と太鼓が鳴れば血が騒ぐ
SY31,夜空の大輪,花火,3,2.4,三大花火がそろえば夜空はもう昼間
SY32,門前町巡り,門前町,3,2.1,神仏の加護がデッキに宿る
SY33,忍びの里,忍者,2,3.5,甲賀と伊賀が手を組む禁断の同盟。全国に2枚しかない
SY34,酒豪同盟,酒どころ,3,2.8,酔えば酔うほど強くなる。灘・伏見・西条の底力
SY35,湯けむり大同盟,温泉地,5,2.8,五湯そろい踏み。もはや戦うより浸かりたい
SY36,天下布武,城下町,5,2.6,五城連合の前に落ちぬ城なし
SY37,世界遺産グランドツアー,世界遺産,5,2.8,人類の宝5つ。文明の力は圧倒的
SY38,首都完全体,東京23区,5,3,23区が5つそろえば首都機能は完全体となる
SY39,島国日本,島,5,3.2,日本は島国。島を制する者が国を制す
SY40,村の底力,村,3,2.5,限界集落なんて言わせない。村には村の意地がある
