card_id,attack,defense,description
P01,9400,8800,面積日本一。日本の国土の約2割を占める広大な大地
P02,7200,5800,りんご生産量日本一。ねぶた祭は動員200万人超
P03,6600,5600,本州で最も広い県。県の面積は四国4県に匹敵
P04,7200,7000,東北最大の都市圏を擁する。牛タンとずんだの本場
P05,6600,5400,なまはげと竿燈まつりの県。米どころとして名高い
P06,6400,5400,さくらんぼ生産量日本一。全市町村に温泉が湧く
P07,6800,6200,全国3位の広さ。会津・中通り・浜通りで気候が全く違う
P08,6400,6600,メロン生産量日本一。読みは「いばらき」で濁らない
P09,6400,6000,いちご生産量日本一。「とちおとめ」の故郷
P10,6400,6000,草津・伊香保・水上など温泉大国。からっ風と雷の国
P11,6600,7800,人口全国5位。ひなまつり人形と川越の小江戸が有名
P12,7000,7800,落花生生産量日本一。成田空港と夢の国を擁する
P13,10000,10000,人口日本一の首都。GDPは一国に匹敵する規模
P14,8400,9200,人口全国2位。横浜・鎌倉・箱根と観光資源も豊富
P15,7000,6400,米の産出額日本一。コシヒカリと日本酒の聖地
P16,6000,5400,立山連峰と富山湾。ホタルイカと寒ブリの海の幸
P17,7000,5800,加賀百万石の伝統文化。能登半島と金沢を擁する
P18,6000,5200,幸福度ランキング常連1位。恐竜化石の発掘数も日本一
P19,6600,5400,ぶどう・桃の生産量日本一。富士山の北側玄関口
P20,7200,6400,8県と接する内陸の雄。平均標高日本一の高地県
P21,6200,6000,白川郷と飛騨高山。織田信長が天下布武を掲げた地
P22,7200,7400,お茶の栽培面積日本一。富士山と駿河湾を擁する
P23,7800,8800,製造品出荷額40年以上日本一。ものづくり王国
P24,6400,6000,伊勢神宮と鈴鹿サーキット。松阪牛と伊勢エビの美食県
P25,6200,5800,日本一の湖・琵琶湖が県面積の6分の1を占める
P26,9500,7600,千年の都。寺社仏閣の数は約3000にのぼる
P27,9400,9000,天下の台所。面積は小さいが人口密度と食文化は圧倒的
P28,7400,8000,神戸・姫路・有馬・淡路島。日本海と瀬戸内海の両方に面する
P29,8000,5800,日本最初の本格的な都。世界遺産の数は全国トップ級
P30,6400,5200,みかんと梅の生産量日本一。高野山と熊野古道の聖地
P31,6000,4600,人口最少の県。鳥取砂丘と二十世紀梨で勝負する
P32,6200,4800,出雲大社と石見銀山。神々が集う縁結びの国
P33,6400,6200,晴れの日が多い「晴れの国」。桃太郎伝説の地
P34,7800,7200,2つの世界遺産を持つ中国地方の雄。お好み焼きの本場
P35,6400,5800,ふぐの取扱量日本一。総理大臣輩出数も日本一
P36,6000,4800,阿波おどりとすだち生産量日本一。渦潮の鳴門海峡
P37,6600,5200,面積最小の県。うどん用小麦の消費量はぶっちぎり日本一
P38,6400,5600,日本最古の道後温泉とみかんの国。しまなみ海道の入口
P39,6400,5000,森林率84%で日本一。坂本龍馬とカツオのたたきの国
P40,8200,8000,屋台の数日本一。アジアの玄関口として発展を続ける
P41,5800,4600,有田焼・伊万里焼の陶磁器王国。バルーンフェスタも有名
P42,7200,5800,島の数日本一(1479島)。鎖国時代唯一の西洋への窓口
P43,7000,6400,地下水都市として日本一。くまモンの経済効果は兆円級
P44,6600,5400,源泉数・湧出量ともに日本一の「おんせん県」
P45,6200,5000,日照時間トップ級の南国。マンゴーと神話の国
P46,7000,6000,桜島と屋久島。黒豚・黒牛・黒酢の「黒」の食文化
P47,9000,6400,日本唯一の亜熱帯県。琉球王国の歴史と美ら海
C001,8000,8200,人口195万の北の都。年間降雪量約5mは大都市で世界随一
C002,6800,5200,世界三大夜景と称される函館山からの眺望。朝市も名物
C003,6200,4400,運河とガラス工芸の街。かつてはニシン漁で栄えた
C004,5400,5000,行動展示で有名な旭山動物園。旭川ラーメンの本場
C005,5800,3800,地獄谷から湧く9種の泉質。北海道随一の温泉郷
C006,5600,3600,夏はラベンダー畑、冬はパウダースノーの二刀流
C007,4800,3200,世界的スキーリゾート・ニセコの玄関口。読めたらすごい
C008,4500,2500,北海道で最も人口が少ない村。黒い蕎麦が名物
C009,4400,2800,かにめし発祥の地。アイヌ語由来の難読地名の代表格
C010,5000,3000,夕張メロンの故郷。かつては炭鉱で栄えた
C011,5400,4800,世界有数の豪雪都市。ねぶた祭の熱気は真夏の雪解け
C012,5400,4400,弘前城の桜は日本一の呼び声。りんご生産量市町村1位
C013,4800,4600,日本有数の水揚げを誇る漁港。朝市文化が根付く
C014,4200,3200,1960年に日本初のひらがな市名となった先駆者
C015,5400,4800,わんこそば・冷麺・じゃじゃ麺の三大麺の街
C016,5000,3200,『遠野物語』の舞台。カッパと座敷わらしの民話の里
C017,6000,3000,中尊寺金色堂。奥州藤原氏が築いた黄金の都
C018,3800,3400,本州最東端の市。浄土ヶ浜の絶景と三陸の海の幸
C019,7600,7800,伊達政宗が築いた杜の都。東北唯一の政令指定都市
C020,6400,3000,日本三景「松島」。260余りの島々が浮かぶ絶景
C021,4000,3800,世界三大漁場・三陸沖の拠点漁港。石ノ森萬画館がある
C022,4000,3200,フカヒレ水揚げ日本一。読み方は「けせんぬま」
C023,5000,4600,竿燈まつりの街。ハタハタと日本酒の食文化
C024,5200,3000,武家屋敷の角館と秘湯・乳頭温泉郷を擁する
C025,5000,2800,なまはげの故郷。「泣ぐ子はいねがー」の男鹿半島
C026,3600,2800,小野小町生誕伝説の地。稲庭うどんの本場
C027,5000,4400,山寺(立石寺)の絶景。冷やしラーメン発祥の地
C028,4200,3600,ユネスコ食文化創造都市。東北最大の面積を持つ市
C029,4800,3000,将棋駒の生産量日本一。人間将棋の開催地
C030,4000,2800,さくらんぼの一大産地。「さがえ」と読めたら上級者
C031,4800,4400,桃の名産地。飯坂温泉は日本最古級の歴史を持つ
C032,6000,4200,白虎隊と鶴ヶ城。サムライ文化が息づく城下町
C033,4200,4400,東北第2の経済都市。「こおりやま」と読む
C034,4600,4200,スパリゾートハワイアンズとフラガールの街
C035,5400,4600,水戸黄門と偕楽園。納豆消費量トップクラス
C036,5600,4600,研究機関が集積する科学の街。宇宙飛行士の訓練拠点
C037,3800,2600,「なめがた」と読む超難読市。さつまいもが名産
C038,4600,2800,あんこう鍋とガールズ&パンツァーの聖地
C039,5600,5000,餃子購入額日本一を浜松市と争う餃子の都
C040,7200,4000,「日光を見ずして結構と言うなかれ」。東照宮と華厳の滝
C041,4800,3200,皇室の御用邸がある高原リゾート。牛乳生産本州一
C042,4200,3200,日本最古の学校「足利学校」。藤の花の絶景で有名
C043,4400,4200,「都道府県庁所在地の知名度」で常に話題になる県都
C044,4800,4600,だるま生産量日本一。上越・北陸新幹線の分岐点
C045,7000,3200,自然湧出量日本一の名湯。湯もみと湯畑は圧巻
C046,4400,2600,18の温泉地を持つ水上温泉郷。ラフティングの聖地
C047,6000,7000,浦和と大宮の合併で誕生した人口134万都市
C048,6000,4400,蔵造りの町並みが残る「小江戸」。さつまいもグルメの街
C049,4800,3200,秩父夜祭は日本三大曳山祭。あの花の聖地としても有名
C050,4200,3800,クレヨンしんちゃん一家が住む街。「かすかべ」と読む
C051,5000,6000,幕張メッセを擁する県都。加曽利貝塚は世界最大級
C052,5800,4200,日本の空の玄関口。成田山新勝寺の参道グルメも人気
C053,4800,3000,水揚げ量日本一の漁港。醤油醸造の一大産地
C054,6200,4400,夢の国が経済を支える。かつては漁師町だった
C055,3600,2400,全国屈指の難読市名「そうさ」。植木の産地として有名
C056,3800,2800,房総半島の南端。温暖な気候で花畑が広がる
C057,8400,7200,新宿駅は乗降客数世界一でギネス認定。眠らない街
C058,8200,6600,スクランブル交差点は1回の青信号で最大3000人が渡る
C059,7400,6800,東京タワーと六本木。企業本社数トップクラス
C060,7800,7400,皇居と国会議事堂。夜間人口わずか6万人の政治の中枢
C061,6600,5000,浅草と上野。江戸の下町文化を今に伝える
C062,5800,5400,池袋を擁する。人口密度は23区トップクラス
C063,6000,5800,新幹線の玄関口。実は品川駅は港区にある
C064,6800,6000,銀座と日本橋。日本の道路の起点「日本橋」がある
C065,5800,6600,23区最大の人口92万人。住宅街の王者
C066,4400,5200,西新井大師と北千住。下町人情が残る
C067,4400,5400,日本のアニメ発祥の地。としまえん跡にハリポタ施設
C068,4200,4800,高尾山を擁する多摩の中核都市。大学が集まる学園都市
C069,4000,2200,東京都とは思えない秘境。都民の水がめ奥多摩湖
C070,4200,2000,人口約160人で日本一小さい村。二重カルデラの絶海の孤島
C071,8200,8800,市の人口377万人で日本一。開港以来の国際港湾都市
C072,5400,6600,工場夜景と音楽の街。人口密度は政令市トップ
C073,7400,4200,武家政権発祥の地。大仏と江ノ電と紫陽花の古都
C074,7200,3400,東京の奥座敷。駅伝の山登りと芦ノ湖の海賊船
C075,5000,4000,北条氏の城下町。かまぼこと梅干しの名産地
C076,5200,4600,ペリー来航の地。海軍カレーとスカジャン発祥
C077,4000,2400,万葉集にも詠まれた古湯。文豪たちの湯治場
C078,5200,5600,本州日本海側唯一の政令市。米菓生産日本一
C079,5800,3000,金山とトキと たらい舟。日本海最大の島
C080,5000,2600,川端康成『雪国』の舞台。東京から75分のスキー天国
C081,4800,4000,日本三大花火の長岡花火。正三尺玉の迫力は圧巻
