card_id,file,article,license,artist,source_url
C001,images/C001.jpg,札幌市,CC BY-SA 4.0,Nryate,https://commons.wikimedia.org/wiki/File:SapporoCity_Skylines2020.jpg
C002,images/C002.jpg,函館市,CC BY-SA 2.0,J o Fg2 Misiase Hosomall monta (Flickr) Composition by Kyoww,https://commons.wikimedia.org/wiki/File:Hakodate_montage.jpg
C003,images/C003.jpg,小樽市,CC BY-SA 3.0,Komatta,https://commons.wikimedia.org/wiki/File:Otaru_Montage.jpg
C004,images/C004.jpg,旭川市,CC BY-SA 4.0,水だらけのプール,https://commons.wikimedia.org/wiki/File:Asahikawa_Montage.jpg
C005,images/C005.jpg,登別市,CC BY 2.5,663highland,https://commons.wikimedia.org/wiki/File:131102_Noboribetsu_Onsen_Hokkaido_Japan04s3.jpg
C006,images/C006.jpg,富良野市,Public domain,wakimasa,https://commons.wikimedia.org/wiki/File:Furano_Snow_Resort_view2.JPG
C007,images/C007.jpg,倶知安町,CC BY 3.0,Douglas P Perkins (Douglaspperkins (talk)),https://commons.wikimedia.org/wiki/File:2010-02.mt_yotei.jpg
C008,images/C008.jpg,音威子府村,Public domain,Soica2001 (talk),https://commons.wikimedia.org/wiki/File:Teshiogawa_spa_roten.JPG
C009,images/C009.jpg,長万部町,Public domain,唐山健志郎,https://commons.wikimedia.org/wiki/File:%E4%BA%8C%E8%82%A1%E3%83%A9%E3%83%82%E3%82%A6%E3%83%A0%E6%B8%A9%E6%B3%89%E9%9C%B2%E5%A4%A9%E9%A2%A8%E5%91%82P6190057.JPG
C010,images/C010.jpg,夕張市,Public domain,Captain76,https://commons.wikimedia.org/wiki/File:Half_cut_of_Yubari_melon.JPG
C011,images/C011.jpg,青森市,CC BY-SA 4.0,水だらけのプール,https://commons.wikimedia.org/wiki/File:Aomori_Montage.jpg
C012,images/C012.jpg,弘前市,CC BY-SA 4.0,水だらけのプール,https://commons.wikimedia.org/wiki/File:Hirosaki_Montage.jpg
