order,field,name,deck,power
1,Web技術/門番,Web技術の門番,T125|T358|T120|T363|T360,24480
2,OS・ハードウェア/門番,OS・ハードウェアの門番,T221|T402|T403|T399|T401,25230
3,クラウド・インフラ/門番,クラウド・インフラの門番,T250|T241|T413|T252|T406,31470
4,開発プロセス・ツール/門番,開発プロセス・ツールの門番,T441|T438|T308|T305|T302,39516
5,AI・データサイエンス/門番,AI・データサイエンスの門番,T268|T270|T264|T420|T265,49550
6,データベース/門番,データベースの門番,T140|T145|T372|T153|T151,62430
7,Web技術/番人,Web技術の番人,T352|T106|T099|T101|T353,74680
8,ネットワーク/門番,ネットワークの門番,T025|T006|T012|T316|T017,78321
9,基礎理論・アルゴリズム/門番,基礎理論・アルゴリズムの門番,T386|T174|T173|T382|T172,97828
10,Web技術/主,Web技術の主,T099|T353|T100|T354|T352,112872
11,セキュリティ/門番,セキュリティの門番,T043|T330|T062|T046|T334,122628
12,OS・ハードウェア/番人,OS・ハードウェアの番人,T193|T196|T198|T197|T195,137870
13,プログラミング言語/門番,プログラミング言語の門番,T096|T098|T076|T090|T351,157337
14,OS・ハードウェア/主,OS・ハードウェアの主,T191|T193|T196|T192|T200,206080
15,クラウド・インフラ/番人,クラウド・インフラの番人,T404|T405|T408|T229|T407,295071
16,開発プロセス・ツール/番人,開発プロセス・ツールの番人,T430|T433|T432|T305|T300,392056
17,クラウド・インフラ/主,クラウド・インフラの主,T228|T407|T224|T409|T227,446472
18,AI・データサイエンス/番人,AI・データサイエンスの番人,T271|T272|T421|T422|T270,465318
19,データベース/番人,データベースの番人,T151|T132|T134|T137|T141,500100
20,ネットワーク/番人,ネットワークの番人,T313|T013|T325|T014|T015,545064
21,開発プロセス・ツール/主,開発プロセス・ツールの主,T283|T432|T431|T433|T285,652048
22,AI・データサイエンス/主,AI・データサイエンスの主,T253|T254|T255|T256|T417,703962
23,データベース/主,データベースの主,T129|T133|T132|T376|T130,747340
24,ネットワーク/主,ネットワークの主,T314|T002|T315|T004|T005,812282
25,基礎理論・アルゴリズム/番人,基礎理論・アルゴリズムの番人,T158|T381|T157|T165|T379,912336
26,セキュリティ/番人,セキュリティの番人,T052|T039|T040|T055|T059,1251870
27,プログラミング言語/番人,プログラミング言語の番人,T340|T081|T085|T082|T075,1489293
28,基礎理論・アルゴリズム/主,基礎理論・アルゴリズムの主,T381|T158|T164|T159|T380,3710405
29,セキュリティ/主,セキュリティの主,T326|T035|T039|T040|T055,4339155
30,プログラミング言語/主,プログラミング言語の主,T065|T066|T067|T070|T351,6560471
31,シンギュラリティ,シンギュラリティ,T033|T158|T002|T065|T129,15052416
