card_id,file,article,license,artist,source_url
T001,images/T001.png,インターネット,CC BY 2.5,The Opte Project,"https://commons.wikimedia.org/wiki/File:Internet_map_1024_-_transparent,_inverted.png"
T003,images/T003.png,HTTP,Public domain,IETF HTTP Working Group (HTTPbis),https://commons.wikimedia.org/wiki/File:HTTP_logo.svg
T004,images/T004.jpg,Domain Name System,CC BY-SA 3.0,Jane Kruch,https://commons.wikimedia.org/wiki/File:Structure_DNS.jpg
T005,images/T005.png,en:HTTPS,Public domain,IETF HTTP Working Group (HTTPbis),https://commons.wikimedia.org/wiki/File:HTTP_logo.svg
T006,images/T006.png,en:OSI model,Public domain,Runtux,https://commons.wikimedia.org/wiki/File:OSI-model-Communication.svg
T008,images/T008.png,ルーター,CC BY-SA 3.0,Charles Féval,https://commons.wikimedia.org/wiki/File:SPOF.png
T009,images/T009.png,Wi-Fi,Public domain,Original: Wi-Fi Alliance Derivative work: Amada44,https://commons.wikimedia.org/wiki/File:Wi-Fi.svg
T010,images/T010.png,Virtual private network,CC BY-SA 4.0,Ludovic.ferre (talk · contribs),https://commons.wikimedia.org/wiki/File:Virtual_Private_Network_overview.svg
T011,images/T011.png,en:5G,CC BY-SA 4.0,Michel Bakni,https://commons.wikimedia.org/wiki/File:Cellular_network_standards_and_generation_timeline.svg
T013,images/T013.png,en:Dynamic Host Configuration Protocol,CC BY-SA 4.0,Michel Bakni,https://commons.wikimedia.org/wiki/File:DHCP_Client-Server_model_-_en.png
T016,images/T016.png,ネットワークアドレス変換,CC BY-SA 4.0,Michel Bakni,https://commons.wikimedia.org/wiki/File:NAT_Concept-en.svg
T017,images/T017.png,en:Ethernet,CC0,Wikideas1,https://commons.wikimedia.org/wiki/File:Ethernet_connector.webp
T019,images/T019.png,Local area network,CC BY-SA 4.0,Michel Bakni,https://commons.wikimedia.org/wiki/File:Data_Networks_classification_by_spatial_scope.svg
T020,images/T020.jpg,スイッチングハブ,CC BY-SA 3.0,Shift,https://commons.wikimedia.org/wiki/File:Switching_Hub.jpg
T023,images/T023.png,en:Subnet,CC BY-SA 4.0,Michel Bakni,https://commons.wikimedia.org/wiki/File:Subnetting_Concept-en.svg
T025,images/T025.png,Ping,GPL,Software: YOSHIFUJI Hideaki / USAGI/WIDE ProjectScreenshot: VulcanSphere,https://commons.wikimedia.org/wiki/File:Ping_iputils_screenshot.png
T028,images/T028.png,プロキシ,CC0,緑さん,https://commons.wikimedia.org/wiki/File:Proxy_concept_ja.png
T030,images/T030.jpg,en:Bluetooth,CC BY-SA 3.0,CIA MAN275,https://commons.wikimedia.org/wiki/File:Plantronics_Voyager_Legend.JPG
T031,images/T031.jpg,en:Routing,CC BY-SA 4.0,Jan Bellon,https://commons.wikimedia.org/wiki/File:Network_Routing_Illustration_Diagram.jpg
T033,images/T033.png,公開鍵暗号,Public domain,KohanX (talk),https://commons.wikimedia.org/wiki/File:Public-key-crypto-1.svg
T035,images/T035.png,en:SQL injection,CC BY-SA 3.0,KDeltchev,https://commons.wikimedia.org/wiki/File:KD_SQLIA_Classification_2010.png
T036,images/T036.png,ファイアウォール,CC BY-SA 3.0,Bruno Pedrozo,https://commons.wikimedia.org/wiki/File:Firewall.png
T037,images/T037.png,en:Denial-of-service attack,LGPL,Everaldo Coelho and YellowIcon,https://commons.wikimedia.org/wiki/File:Stachledraht_DDos_Attack.svg
T041,images/T041.jpg,en:Multi-factor authentication,CC BY 2.0,"Tony Webster from Minneapolis, Minnesota, United States",https://commons.wikimedia.org/wiki/File:U2F_Hardware_Authentication_Security_Keys_(Yubico_Yubikey_4_and_Feitian_MultiPass_FIDO)_(42286852310).jpg
T044,images/T044.webp,シングルサインオン,CC BY-SA 4.0,Software: Wikimedia Foundation and contributorsScreenshot: VulcanSphere,https://commons.wikimedia.org/wiki/File:Wikimedia_Developer_Single-Sign_On_screenshot.webp
T047,images/T047.png,en:Digital signature,CC BY-SA 4.0,https://Reinwaldbrian49@gmail.comFlippyFlink,https://commons.wikimedia.org/wiki/File:Private_key_signing.svg
T048,images/T048.png,ハッシュ関数,Public domain,Jorge Stolfi,https://commons.wikimedia.org/wiki/File:Hash_table_4_1_1_0_0_1_0_LL.svg
T049,images/T049.png,共通鍵暗号,CC BY-SA 4.0,Michel Bakni,https://commons.wikimedia.org/wiki/File:Simple_symmetric_encryption-en.svg
T056,images/T056.jpg,en:Port scanner,CC BY-SA 4.0,Arphotog,https://commons.wikimedia.org/wiki/File:Cisco_ASYNC_32A.jpg
T060,images/T060.png,ボットネット,LGPL,Everaldo Coelho and YellowIcon,https://commons.wikimedia.org/wiki/File:Stachledraht_DDos_Attack.svg
T064,images/T064.png,公開鍵証明書,CC BY-SA 3.0,Giaros,https://commons.wikimedia.org/wiki/File:%E5%85%AC%E9%96%8B%E9%8D%B5%E8%A8%BC%E6%98%8E%E6%9B%B8%E3%81%AE%E7%99%BA%E8%A1%8C%E3%83%97%E3%83%AD%E3%82%BB%E3%82%B9.png
T065,images/T065.png,C言語,CC BY-SA 4.0,Cobaiahackers,https://commons.wikimedia.org/wiki/File:C1stEdition.svg
T066,images/T066.png,en:Python (programming language),GPL,www.python.org,https://commons.wikimedia.org/wiki/File:Python-logo-notext.svg
T067,images/T067.png,JavaScript,Public domain,Chris Williams,https://commons.wikimedia.org/wiki/File:Unofficial_JavaScript_logo_2.svg
T069,images/T069.png,C++,Public domain,Jeremy Kratz,https://commons.wikimedia.org/wiki/File:ISO_C%2B%2B_Logo.svg
T070,images/T070.png,Fortran,Public domain,Fortran-lang community,https://commons.wikimedia.org/wiki/File:Fortran_logo.svg
T071,images/T071.png,LISP,CC BY-SA 4.0,Lisp,https://commons.wikimedia.org/wiki/File:Lisplogo.png
T072,images/T072.png,TypeScript,Public domain,™/®Microsoft,https://commons.wikimedia.org/wiki/File:Typescript_logo_2020.svg
T075,images/T075.png,en:C,CC BY-SA 4.0,1234qwer1234qwer4,https://commons.wikimedia.org/wiki/File:Latin_letter_C.svg
T076,images/T076.jpg,COBOL,Public domain,CODASYL,https://commons.wikimedia.org/wiki/File:COBOL_Report_Apr60.djvu
T077,images/T077.png,アセンブリ言語,Public domain,Swtpc6800 en:User:Swtpc6800 Michael Holley,https://commons.wikimedia.org/wiki/File:Motorola_6800_Assembly_Language.png
T078,images/T078.png,en:Ruby (programming language),Public domain,"Yukihiro Matsumoto, Ruby Visual Identity Team",https://commons.wikimedia.org/wiki/File:Ruby_logo.svg
T082,images/T082.png,Haskell,Public domain,Darrin A Thompson; Jeffrey Wheeler,https://commons.wikimedia.org/wiki/File:Haskell-Logo.svg
