id,name,reading,type,field,rarity
T001,インターネット,インターネット,term,ネットワーク,UR
T002,TCP/IP,ティーシーピーアイピー,tech,ネットワーク,UR
T003,HTTP,エイチティーティーピー,tech,ネットワーク,SSR
T004,DNS,ディーエヌエス,tech,ネットワーク,SSR
T005,HTTPS,エイチティーティーピーエス,tech,ネットワーク,SSR
T006,OSI参照モデル,オーエスアイサンショウモデル,term,ネットワーク,SR
T007,IPアドレス,アイピーアドレス,term,ネットワーク,SR
T008,ルーター,ルーター,tool,ネットワーク,SR
T009,Wi-Fi,ワイファイ,tech,ネットワーク,SR
T010,VPN,ブイピーエヌ,tech,ネットワーク,SR
T011,5G,ファイブジー,tech,ネットワーク,SR
T012,UDP,ユーディーピー,tech,ネットワーク,R
T013,DHCP,ディーエイチシーピー,tech,ネットワーク,R
T014,SMTP,エスエムティーピー,tech,ネットワーク,R
T015,FTP,エフティーピー,tech,ネットワーク,R
T016,NAT,ナット,tech,ネットワーク,R
T017,イーサネット,イーサネット,tech,ネットワーク,R
T018,パケット,パケット,term,ネットワーク,R
T019,LAN,ラン,term,ネットワーク,R
T020,スイッチングハブ,スイッチングハブ,tool,ネットワーク,R
T021,ポート番号,ポートバンゴウ,term,ネットワーク,N
T022,MACアドレス,マックアドレス,term,ネットワーク,N
T023,サブネットマスク,サブネットマスク,term,ネットワーク,N
T024,デフォルトゲートウェイ,デフォルトゲートウェイ,term,ネットワーク,N
T025,ping,ピング,tool,ネットワーク,N
T026,POP3,ポップスリー,tech,ネットワーク,N
T027,IMAP,アイマップ,tech,ネットワーク,N
T028,プロキシサーバ,プロキシサーバ,tool,ネットワーク,N
T029,WAN,ワン,term,ネットワーク,N
T030,Bluetooth,ブルートゥース,tech,ネットワーク,N
T031,ルーティング,ルーティング,tech,ネットワーク,N
T032,NTP,エヌティーピー,tech,ネットワーク,N
T033,公開鍵暗号,コウカイカギアンゴウ,tech,セキュリティ,UR
T034,RSA暗号,アールエスエーアンゴウ,tech,セキュリティ,SSR
T035,SQLインジェクション,エスキューエルインジェクション,tech,セキュリティ,SSR
T036,ファイアウォール,ファイアウォール,tool,セキュリティ,SSR
T037,DDoS攻撃,ディードスコウゲキ,tech,セキュリティ,SR
T038,ランサムウェア,ランサムウェア,term,セキュリティ,SR
T039,クロスサイトスクリプティング,クロスサイトスクリプティング,tech,セキュリティ,SR
T040,フィッシング,フィッシング,tech,セキュリティ,SR
T041,多要素認証,タヨウソニンショウ,tech,セキュリティ,SR
T042,ゼロトラスト,ゼロトラスト,term,セキュリティ,SR
T043,OAuth,オーオース,tech,セキュリティ,R
T044,シングルサインオン,シングルサインオン,tech,セキュリティ,R
T045,WAF,ワフ,tool,セキュリティ,R
T046,IDS,アイディーエス,tool,セキュリティ,R
T047,デジタル署名,デジタルショメイ,tech,セキュリティ,R
T048,ハッシュ関数,ハッシュカンスウ,tech,セキュリティ,R
T049,共通鍵暗号,キョウツウカギアンゴウ,tech,セキュリティ,R
T050,マルウェア,マルウェア,term,セキュリティ,R
T051,CSRF,シーエスアールエフ,tech,セキュリティ,R
T052,ブルートフォース攻撃,ブルートフォースコウゲキ,tech,セキュリティ,N
T053,パスワードリスト攻撃,パスワードリストコウゲキ,tech,セキュリティ,N
T054,標的型攻撃,ヒョウテキガタコウゲキ,tech,セキュリティ,N
T055,ソーシャルエンジニアリング,ソーシャルエンジニアリング,tech,セキュリティ,N
T056,ポートスキャン,ポートスキャン,tech,セキュリティ,N
T057,トロイの木馬,トロイノモクバ,term,セキュリティ,N
T058,スパイウェア,スパイウェア,term,セキュリティ,N
T059,キーロガー,キーロガー,term,セキュリティ,N
T060,ボットネット,ボットネット,term,セキュリティ,N
T061,サンドボックス,サンドボックス,tech,セキュリティ,N
T062,ペネトレーションテスト,ペネトレーションテスト,tech,セキュリティ,N
T063,CAPTCHA,キャプチャ,tech,セキュリティ,N
T064,デジタル証明書,デジタルショウメイショ,term,セキュリティ,N
T065,C言語,シーゲンゴ,lang,プログラミング言語,UR
T066,Python,パイソン,lang,プログラミング言語,UR
T067,JavaScript,ジャバスクリプト,lang,プログラミング言語,UR
T068,Java,ジャバ,lang,プログラミング言語,SSR
T069,C++,シープラスプラス,lang,プログラミング言語,SSR
T070,FORTRAN,フォートラン,lang,プログラミング言語,SSR
T071,Lisp,リスプ,lang,プログラミング言語,SSR
T072,TypeScript,タイプスクリプト,lang,プログラミング言語,SR
T073,Go,ゴー,lang,プログラミング言語,SR
T074,Rust,ラスト,lang,プログラミング言語,SR
T075,C#,シーシャープ,lang,プログラミング言語,SR
T076,COBOL,コボル,lang,プログラミング言語,SR
T077,アセンブリ言語,アセンブリゲンゴ,lang,プログラミング言語,SR
T078,Ruby,ルビー,lang,プログラミング言語,R
T079,PHP,ピーエイチピー,lang,プログラミング言語,R
T080,Swift,スウィフト,lang,プログラミング言語,R
T081,Kotlin,コトリン,lang,プログラミング言語,R
T082,Haskell,ハスケル,lang,プログラミング言語,R
T083,Perl,パール,lang,プログラミング言語,R
T084,R,アール,lang,プログラミング言語,R
T085,Scala,スカラ,lang,プログラミング言語,R
T086,BASIC,ベーシック,lang,プログラミング言語,R
T087,Dart,ダート,lang,プログラミング言語,N
T088,Lua,ルア,lang,プログラミング言語,N
T089,Julia,ジュリア,lang,プログラミング言語,N
T090,Pascal,パスカル,lang,プログラミング言語,N
T091,Elixir,エリクサー,lang,プログラミング言語,N
T092,Zig,ジグ,lang,プログラミング言語,N
T093,Objective-C,オブジェクティブシー,lang,プログラミング言語,N
T094,Clojure,クロージャー,lang,プログラミング言語,N
T095,OCaml,オーキャメル,lang,プログラミング言語,N
T096,Prolog,プロログ,lang,プログラミング言語,N
T097,Erlang,アーラン,lang,プログラミング言語,N
T098,Smalltalk,スモールトーク,lang,プログラミング言語,N
T099,World Wide Web,ワールドワイドウェブ,tech,Web技術,UR
T100,HTML,エイチティーエムエル,tech,Web技術,SSR
T101,CSS,シーエスエス,tech,Web技術,SSR
T102,REST API,レストエーピーアイ,tech,Web技術,SSR
T103,JSON,ジェイソン,tech,Web技術,SR
T104,XML,エックスエムエル,tech,Web技術,SR
T105,Cookie,クッキー,tech,Web技術,SR
T106,DOM,ドム,tech,Web技術,SR
T107,Ajax,エイジャックス,tech,Web技術,SR
T108,WebSocket,ウェブソケット,tech,Web技術,R
T109,SPA,エスピーエー,term,Web技術,R
T110,PWA,ピーダブリューエー,term,Web技術,R
T111,URL,ユーアールエル,term,Web技術,R
T112,GraphQL,グラフキューエル,tech,Web技術,R
T113,WebAssembly,ウェブアセンブリ,tech,Web技術,R
T114,セッション,セッション,term,Web技術,R
T115,SEO,エスイーオー,term,Web技術,R
T116,レスポンシブデザイン,レスポンシブデザイン,tech,Web技術,R
T117,OGP,オージーピー,tech,Web技術,N
T118,アクセシビリティ,アクセシビリティ,term,Web技術,N
T119,jQuery,ジェイクエリー,tool,Web技術,N
T120,Sass,サス,tool,Web技術,N
T121,Web Components,ウェブコンポーネンツ,tech,Web技術,N
T122,Webストレージ,ウェブストレージ,tech,Web技術,N
T123,CORS,コルス,tech,Web技術,N
T124,iframe,アイフレーム,tech,Web技術,N
T125,ファビコン,ファビコン,term,Web技術,N
T126,サーバーサイドレンダリング,サーバーサイドレンダリング,tech,Web技術,N
T127,WebRTC,ウェブアールティーシー,tech,Web技術,N
T128,WebGL,ウェブジーエル,tech,Web技術,N
T129,SQL,エスキューエル,lang,データベース,UR
T130,正規化,セイキカ,tech,データベース,SSR
T131,トランザクション,トランザクション,term,データベース,SSR
T132,主キー,シュキー,term,データベース,SR
T133,インデックス,インデックス,tech,データベース,SR
T134,ACID特性,アシッドトクセイ,term,データベース,SR
T135,MySQL,マイエスキューエル,tool,データベース,SR
T136,PostgreSQL,ポストグレエスキューエル,tool,データベース,SR
T137,外部キー,ガイブキー,term,データベース,R
T138,ビュー,ビュー,term,データベース,R
T139,デッドロック,デッドロック,term,データベース,R
T140,レプリケーション,レプリケーション,tech,データベース,R
T141,ER図,イーアールズ,tech,データベース,R
T142,NoSQL,ノーエスキューエル,term,データベース,R
T143,MongoDB,モンゴディービー,tool,データベース,R
T144,Redis,レディス,tool,データベース,R
T145,ストアドプロシージャ,ストアドプロシージャ,tech,データベース,N
T146,サブクエリ,サブクエリ,tech,データベース,N
T147,JOIN,ジョイン,tech,データベース,N
T148,スキーマ,スキーマ,term,データベース,N
T149,ロールバック,ロールバック,term,データベース,N
T150,SELECT文,セレクトブン,term,データベース,N
T151,DBMS,ディービーエムエス,term,データベース,N
T152,CRUD,クラッド,term,データベース,N
T153,ORM,オーアールエム,tech,データベース,N
T154,SQLite,エスキューライト,tool,データベース,N
T155,Oracle Database,オラクルデータベース,tool,データベース,N
T156,データウェアハウス,データウェアハウス,term,データベース,N
T157,チューリングマシン,チューリングマシン,term,基礎理論・アルゴリズム,UR
T158,クイックソート,クイックソート,tech,基礎理論・アルゴリズム,SSR
T159,二分探索,ニブンタンサク,tech,基礎理論・アルゴリズム,SSR
T160,P対NP問題,ピータイエヌピーモンダイ,term,基礎理論・アルゴリズム,SSR
T161,スタック,スタック,term,基礎理論・アルゴリズム,SR
T162,キュー,キュー,term,基礎理論・アルゴリズム,SR
T163,二分木,ニブンギ,term,基礎理論・アルゴリズム,SR
T164,再帰,サイキ,tech,基礎理論・アルゴリズム,SR
T165,オーダー記法,オーダーキホウ,term,基礎理論・アルゴリズム,SR
T166,2進数,ニシンスウ,term,基礎理論・アルゴリズム,SR
T167,バブルソート,バブルソート,tech,基礎理論・アルゴリズム,R
T168,連結リスト,レンケツリスト,term,基礎理論・アルゴリズム,R
T169,ハッシュテーブル,ハッシュテーブル,term,基礎理論・アルゴリズム,R
T170,動的計画法,ドウテキケイカクホウ,tech,基礎理論・アルゴリズム,R
T171,貪欲法,ドンヨクホウ,tech,基礎理論・アルゴリズム,R
T172,浮動小数点数,フドウショウスウテンスウ,term,基礎理論・アルゴリズム,R
T173,論理演算,ロンリエンザン,term,基礎理論・アルゴリズム,R
